Accessibility,可访问性
Asynchronous,异步的
attach,附上 [In React 17, React will no longer attach event handlers at the document level. Instead, it will attach them to the root DOM container into which your React tree is rendered]
Browser caching,浏览器缓存
Browser compatibility,浏览器兼容性
Browser DevTools,浏览器开发工具
Browser extensions,浏览器扩展
Browser rendering,浏览器渲染
Build configurations,构建配置
Build tools,构建工具
Code refactoring,代码重构
Component-based development,基于组件的开发
Concurrent,并发的
Cross-origin resource sharing (CORS),跨域资源共享
Cross-site request forgery (CSRF),跨站请求伪造
Cross-site scripting (XSS),跨站脚本攻击
Cascading Style Sheets(CSS),层叠样式表
CSS animations,CSS动画
CSS transitions,CSS过渡效果
Data binding,数据绑定
Data visualization,数据可视化
Decouple,解耦，使分离
Flexbox,弹性盒子布局
Form validation,表单验证
Front-end architecture,前端架构
Front-end best practices,前端最佳实践
Front-end build optimization,前端构建优化
Front-end caching strategies,前端缓存策略
Front-end deployment strategies,前端部署策略
Front-end frameworks,前端框架
Front-end performance,前端性能
Front-end security vulnerabilities,前端安全漏洞
Event Delegation, 事件委托
Grid systems,网格系统
Lifecycle methods,生命周期方法
Micro task,微任务
Macro task,宏任务
Media queries,媒体查询
Module bundlers,模块打包工具
Package managers,包管理器
Performance metrics,性能指标
Performance monitoring,性能监测
Performance optimization,性能优化
Progressive enhancement,渐进增强
Responsive images,响应式图片
Responsive web design,响应式网页设计
Search Engine Optimization(SEO),搜索引擎优化
SEO optimization,SEO优化
Semantic markup,语义化标记
Single-page application frameworks,单页应用程序框架
State management,状态管理
Synchronous,同步的
Task runners,任务管理器
User interface (UI),用户界面
User experience,用户体验
Version control,版本控制
Virtual DOM,虚拟DOM
Web performance metrics,网页性能指标
