Atomic opreation,原子操作
Atomic transaction,原子事务
Atomicity,原子性
Authentication,认证
Authorization,授权
Backfill,回填
Cluster,集群
Data access layer,数据访问层
Database,数据库
Data storage,数据存储cluster
Dead letter queue,死信队列
Decryption,解密
Dependenct injection(DI),依赖注入
Dequeue,出列
Distributed system,分布式系统
Dynamic Link Library(DLL),动态链接库
Domain Name System(DNS),域名系统
Elasticity,弹性
Encryption,加密
Failback,自动恢复
Failover,容错转移
Firewall,防火墙
Framework,框架
Garbage Collection(GC),垃圾回收器
GC Heap,垃圾回收堆
Handle,句柄
High Avaliability,高可用性
Idempotence,幂等性
Idempotent Operation,幂等操作
Illegitimate Injection,非法注入
Infrastructure engineer,架构师
Instantiation,实例化
Load balancing,负载均衡
Microservices,微服务
Mrgration,迁移
Multithread,多线程
Optimistic locking,乐观锁
Permission,权限
Pessimistic locking,悲观锁
Pipeline,管道
Polling,轮询
Polymorphism,多态
Presentation layer,表现层
Priority queue,优先级队列
Process,进程
Producer,生产者
Relational database,关系型数据库
Scalability,扩展性
Scheduler,时间调度程序
Serialize,序列化
Single thread,单线程
Thread Pool,线程池
Thread Starvation,线程饥荒
Threshold,阈值
Topology,拓扑结构
Traceability,可追溯性
Transaction,事务
Transaction Script,事务脚本
Transient Error,瞬时错误
User Acceptance Testing,用户验收测试
Version control,版本控制
Virtual Private Network(VPN),虚拟专用网络
