Accessibility,可访问性
Browser caching,浏览器缓存
Browser compatibility,浏览器兼容性
Browser DevTools,浏览器开发工具
Browser extensions,浏览器扩展
Browser rendering,浏览器渲染
Responsive design,自适应设计
Frameworks,框架
Front-end architecture,前端架构
Grid systems,网格系统
Media queries,媒体查询
Module bundlers,模块打包工具
Package managers,包管理器
Performance metrics,性能指标
Performance optimization,性能优化
Progressive enhancement,渐进增强
Semantic markup,语义化标记
Task runners,任务管理器
User interface (UI),用户界面
User experience,用户体验
Version control,版本控制
